City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
San Francisco,1/20/2011,81119753646,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Gunma,San Francisco Bay Area,1,1,13
Mountain View,1/20/2011,6.12E+11,Software Development Tools,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,Gunma,San Francisco Bay Area,1,1,0.02
Lanham,1/21/2011,6.11E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Gunma,Potomac,1,1,1.9
Sunnyvale,1/21/2011,6.05E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Nagano,San Francisco Bay Area,1,1,10.58
Suwanee,1/21/2011,6.08E+11,Data Management Services,Business and Financial Services,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,First Round,Nagano,,1,1,11
Seattle,1/21/2011,1.83E+11,Online Communities,Consumer Services,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,Nagano,Seattle Metro,1,1,4
Bloomfield,1/21/2011,80997753406,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Hartford-West Hartford-East Hartford, CT",New England,Product Development,First Round,Nagano,,1,1,3
Midland,1/21/2011,6.12E+11,Oil/Gas Exploration and Production,Energy and Utilities,Non-Renewable Energy,"Midland, TX",South Central,Startup,First Round,Nagano,,1,1,50
San Diego,1/21/2011,55917753699,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Later Stage,Nagano,San Diego Metro,1,1,0.01
Davis,1/21/2011,54687753653,Crop Cultivation/Horticulture,Industrial Goods and Materials,Agriculture and Forestry,"Sacramento--Arden-Arcade--Roseville, CA",Northern California,Generating Revenue,Later Stage,Nagano,,1,1,17.7
Palo Alto,1/21/2011,3.59E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Nagano,San Francisco Bay Area,1,1,25.9
Lexington,1/22/2011,6.12E+11,Filters/Membranes,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Nagano,Boston Metro,1,1,
New York,1/24/2011,3.59E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,Nagano,New York Metro,1,1,4.03
Austin,1/24/2011,1.02E+11,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Second Round,Nagano,Austin Metro,1,1,2
Lexington,1/24/2011,92355753358,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,Nagano,Boston Metro,1,1,37.5
Newark,1/24/2011,93229753643,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 2,Later Stage,Nagano,San Francisco Bay Area,1,1,45
Bethesda,1/24/2011,61503753707,Medical/Lab Services,Healthcare,Healthcare Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,Nagano,Potomac,1,1,0.17
Milpitas,1/24/2011,1.83E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,Nagano,San Francisco Bay Area,1,1,12.5
Santa Clara,1/24/2011,3.55E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Nagano,San Francisco Bay Area,1,1,3
Austin,1/24/2011,86298753381,Software: Other,Information Technology,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Restart,Nagano,Austin Metro,1,1,4
Middletown,1/25/2011,6.12E+11,Logistics/Delivery Services,Business and Financial Services,Wholesale Trade and Shipping,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,First Round,Nagano,,1,1,
San Jose,1/25/2011,6.07E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,Nagano,San Francisco Bay Area,1,1,22.5
San Francisco,1/25/2011,3.56E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Nagano,San Francisco Bay Area,1,1,6.29
