City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Moorestown,3/31/2011,6.09E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,1.5
Pittsburgh,3/31/2011,1.11E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,Second Round,Iwate,,1,1,0.96
Brookfield,3/31/2011,4.71E+11,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Milwaukee-Waukesha-West Allis, WI",Midwest East,Generating Revenue,Second Round,Iwate,,1,1,4.02
Woburn,3/31/2011,3.56E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Second Round,Iwate,Boston Metro,1,1,13
Dallas,3/31/2011,6.10E+11,Managed Care,Healthcare,Healthcare Services,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Second Round,Iwate,Dallas-Fort Worth,1,1,1
Redwood City,3/31/2011,85138757367,Basic Chemicals,Industrial Goods and Materials,Materials and Chemicals,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,4.79
New York,3/31/2011,6.13E+11,Multimedia/Streaming Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,0.75
Arlington,3/31/2011,6.13E+11,Vertical Market Applications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Iwate,Potomac,1,1,
Minneapolis,3/31/2011,6.13E+11,Multimedia/Streaming Software,Information Technology,Software,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,First Round,Iwate,,1,1,2
Orem,3/31/2011,6.13E+11,Database Software,Information Technology,Software,"Provo-Orem, UT",Mountain,Generating Revenue,First Round,Iwate,,1,1,
Waltham,3/31/2011,6.13E+11,Multimedia/Streaming Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,4
Alamo,3/31/2011,6.05E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,3
San Mateo,3/31/2011,6.13E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,1
Mountain View,3/31/2011,6.13E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,8
Mountain View,3/31/2011,6.13E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,0.4
San Francisco,3/31/2011,6.13E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,5
Half Moon Bay,3/31/2011,6.13E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,First Round,Iwate,San Francisco Bay Area,1,1,
Mountain View,3/31/2011,6.13E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,
Aliso Viejo,3/31/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Iwate,Orange County,1,1,
Irvine,3/31/2011,6.13E+11,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Iwate,Orange County,1,1,
San Diego,3/31/2011,6.09E+11,Business Applications Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Individual,Iwate,San Diego Metro,1,1,
Wayne,3/31/2011,60744757595,Business Applications Software,Information Technology,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,0.15
Littleton,3/31/2011,81558757462,Wired Communications Equipment,Information Technology,Communications and Networking,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,22.5
Waltham,3/31/2011,59532757819,Network/Systems Management Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,12.5
Mountain View,3/31/2011,91786757411,Wireless Communications Equipment,Information Technology,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,
Santa Clara,3/31/2011,65891758387,Data Storage,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,10
Milpitas,3/31/2011,73349758749,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,
Los Gatos,3/31/2011,1.12E+11,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,5.75
San Francisco,3/31/2011,82040757684,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,16
Sunnyvale,3/31/2011,1.06E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,0.78
Austin,3/31/2011,1.12E+11,Communications Software,Information Technology,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,Iwate,Austin Metro,1,1,8
San Diego,3/31/2011,57190757683,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Restart,Iwate,San Diego Metro,1,1,3.2
Salt Lake City,3/31/2011,6.05E+11,Educational/Training Software,Information Technology,Software,"Salt Lake City, UT",Mountain,Generating Revenue,Second Round,Iwate,,1,1,8.52
Waltham,3/31/2011,1.16E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,2
Waltham,3/31/2011,1.03E+11,Network/Systems Management Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,15
San Mateo,3/31/2011,1.82E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,
Camarillo,3/31/2011,1.06E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,Iwate,Los Angeles Metro,1,1,64
Long Island City,3/31/2011,6.13E+11,Multimedia/Streaming Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Seed Round,Iwate,New York Metro,1,1,4.5
Mercer Island,3/31/2011,6.13E+11,Software: Other,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Seed Round,Iwate,Seattle Metro,1,1,
Culver City,3/31/2011,6.09E+11,Vertical Market Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Seed Round,Iwate,Los Angeles Metro,1,1,
San Diego,3/31/2011,6.13E+11,Communications Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Seed Round,Iwate,San Diego Metro,1,1,1
San Francisco,4/01/2011,6.15E+11,General Business Consulting,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,2.23
New York,4/01/2011,3.55E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,8
Pittsfield,4/01/2011,1.05E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Pittsfield, MA",New England,Generating Revenue,Second Round,Iwate,,1,1,0.37
Chicago,4/01/2011,6.15E+11,Online Communities,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Seed Round,Iwate,Chicago Metro,1,1,
Plymouth,4/01/2011,3.58E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product Development,Later Stage,Iwate,,1,1,10
Redwood City,4/01/2011,94903758079,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Generic,Later Stage,Iwate,San Francisco Bay Area,1,1,8.11
South San Francisco,4/01/2011,75401758224,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 3,Later Stage,Iwate,San Francisco Bay Area,1,1,17.47
Waltham,4/01/2011,1.12E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,7
San Francisco,4/01/2011,6.14E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,3.71
Venice,4/01/2011,6.13E+11,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Iwate,Los Angeles Metro,1,1,1.6
Foster City,4/01/2011,56663759972,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,2
Pittsburgh,4/01/2011,3.56E+11,Educational/Training Software,Information Technology,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,0.34
Boulder,4/01/2011,6.09E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Boulder, CO",Mountain,Product Development,Second Round,Iwate,,1,1,5
Honolulu,4/04/2011,6.15E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"Honolulu, HI",Alaska/Islands,Product Development,Second Round,Iwate,,1,1,
New York,4/04/2011,6.13E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,Iwate,New York Metro,1,1,3
San Francisco,4/04/2011,3.54E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,23
Austin,4/05/2011,6.13E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Product In Beta Test,First Round,Iwate,Austin Metro,1,1,2
Buffalo,4/05/2011,6.11E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"Buffalo-Niagara Falls, NY",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,12.62
Richmond,4/05/2011,6.09E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Richmond, VA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,0.02
San Francisco,4/05/2011,6.13E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,2.5
Woburn,4/05/2011,6.08E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,Iwate,Boston Metro,1,1,5
San Francisco,4/05/2011,6.11E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,4.48
Sanford,4/05/2011,6.13E+11,Wind/Water and Geothermal Energy,Energy and Utilities,Renewable Energy,"Orlando, FL",South East,Generating Revenue,Later Stage,Iwate,,1,1,32.5
Boston,4/05/2011,58998758376,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Corporate,Iwate,Boston Metro,1,1,20
Indianapolis,4/05/2011,6.13E+11,Home Healthcare Services,Healthcare,Healthcare Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,First Round,Iwate,,1,1,6
Salt Lake City,4/05/2011,6.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Salt Lake City, UT",Mountain,Product Development,First Round,Iwate,,1,1,0.82
Cambridge,4/05/2011,85394761281,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Later Stage,Iwate,Boston Metro,1,1,15
New York,4/06/2011,6.13E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,Iwate,New York Metro,1,1,2
St. Louis,4/06/2011,6.08E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"St. Louis, MO-IL",Midwest Central,Product Development,First Round,Iwate,,1,1,1.33
Roanoke,4/06/2011,90156757715,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Roanoke, VA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,35
Lexington,4/06/2011,1.82E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 1,Later Stage,Iwate,Boston Metro,1,1,30.4
Cambridge,4/06/2011,83232758054,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Later Stage,Iwate,Boston Metro,1,1,77
Suwanee,4/06/2011,1.12E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Later Stage,Iwate,,1,1,3.5
Cincinnati,4/06/2011,54891757712,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Clinical Trials - Phase 2,Second Round,Iwate,,1,1,14
Nashville,4/06/2011,3.56E+11,Healthcare Services: Other,Healthcare,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Product Development,Second Round,Iwate,,1,1,1
Palo Alto,4/06/2011,6.14E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,17.5
Santa Clara,4/06/2011,4.71E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,37.29
Seattle,4/07/2011,66145758280,Shopping Facilitators,Consumer Services,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Restart,Iwate,Seattle Metro,1,1,6.28
Madison,4/07/2011,62140757611,Medical/Lab Services,Healthcare,Healthcare Services,"Madison, WI",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,30
Sunnyvale,4/07/2011,96030758223,Medical Devices and Equipment: TBA,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,8.23
Boston,4/08/2011,3.56E+11,Environmental Engineering/Services,Business and Financial Services,Construction and Civil Engineering,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Individual,Iwate,Boston Metro,1,1,2.75
Durham,4/08/2011,66801758607,Advertising/Marketing,Business and Financial Services,Business Support Services,"Durham-Chapel Hill, NC",South East,Generating Revenue,Later Stage,Iwate,,1,1,12.14
Los Angeles,4/08/2011,6.06E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Later Stage,Iwate,Los Angeles Metro,1,1,14.12
New York,4/08/2011,6.07E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,New York Metro,1,1,3.75
Seattle,4/08/2011,1.84E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,First Round,Iwate,Seattle Metro,1,1,0.2
Tucson,4/08/2011,87014761729,Fiberoptic Equipment,Information Technology,Communications and Networking,"Tucson, AZ",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,
Ashaway,4/08/2011,3.54E+11,Data Storage,Information Technology,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,,1,1,1
Pleasanton,4/08/2011,90141761239,Integrated Circuit Production,Information Technology,Semiconductors,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,1.5
Cambridge,4/08/2011,6.15E+11,To Be Assigned,To Be Assigned,To Be Assigned,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,10.8
Waltham,4/11/2011,6.09E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,7
San Francisco,4/11/2011,6.04E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,2
Norwalk,4/11/2011,6.07E+11,General Media/Content,Consumer Services,Media and Content,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Unclassified,Iwate,New York Metro,1,1,6.35
Oakland,4/11/2011,60324757888,Solar Energy,Energy and Utilities,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Corporate,Iwate,San Francisco Bay Area,1,1,168
Pittsburgh,4/11/2011,3.54E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,First Round,Iwate,,1,1,2.39
Cambridge,4/11/2011,6.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,40
Durham,4/11/2011,1.83E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Pre-Clinical Trials,Later Stage,Iwate,,1,1,0.62
Ronkonkoma,4/11/2011,4.71E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Second Round,Iwate,New York Metro,1,1,8.36
Gilbert,4/11/2011,6.13E+11,Building Materials/Construction Machinery,Industrial Goods and Materials,Machinery and Industrial Goods,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,8
New York,4/11/2011,65154758543,Multimedia/Streaming Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,6.13
Boston,4/12/2011,1.82E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,Second Round,Iwate,Boston Metro,1,1,20
Seattle,4/12/2011,6.15E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Clinical Trials - Generic,Second Round,Iwate,Seattle Metro,1,1,1.5
Seattle,4/12/2011,6.13E+11,Wireless Telecommunications Service Providers,Information Technology,Communications and Networking,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,Iwate,Seattle Metro,1,1,6
Beachwood,4/12/2011,1.14E+11,Software: Other,Information Technology,Software,"Cleveland-Elyria-Mentor, OH",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,17.2
Redwood City,4/12/2011,1.06E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,5
Plano,4/12/2011,2.31E+11,Communications Software,Information Technology,Software,"Dallas-Fort Worth-Arlington, TX",South Central,Product Development,Later Stage,Iwate,Dallas-Fort Worth,1,1,2.76
Fort Washington,4/13/2011,54908758860,Lending,Business and Financial Services,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,1.24
Norwalk,4/13/2011,3.57E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Restart,Iwate,New York Metro,1,1,2
Cranbury,4/13/2011,93052758486,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,0.41
Kalamazoo,4/13/2011,3.57E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"Kalamazoo-Portage, MI",Midwest East,Generating Revenue,Second Round,Iwate,,1,1,0.14
Boston,4/13/2011,1.03E+11,Multimedia/Streaming Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,7.7
Cupertino,4/13/2011,77681758504,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Restart,Iwate,San Francisco Bay Area,1,1,3.37
Ann Arbor,4/13/2011,2.28E+11,Fiberoptic Equipment,Information Technology,Communications and Networking,"Ann Arbor, MI",Midwest East,Product Development,Second Round,Iwate,,1,1,0.2
San Francisco,4/13/2011,6.04E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,Iwate,San Francisco Bay Area,1,1,10.7
New York,4/14/2011,3.55E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,10.01
Los Angeles,4/14/2011,1.83E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,3.42
Plymouth,4/14/2011,1.11E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product Development,Later Stage,Iwate,,1,1,1.64
Santa Clara,4/14/2011,58911758219,Surgical Devices,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,35
San Diego,4/14/2011,63567758239,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Second Round,Iwate,San Diego Metro,1,1,19.2
Alpharetta,4/15/2011,1.16E+11,Personal Care Products,Consumer Goods,Personal Goods,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Second Round,Iwate,,1,1,6
New York,4/15/2011,1.07E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,138
San Francisco,4/15/2011,90740758916,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,10
Mountain View,4/15/2011,63544753217,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,22
Mountain View,4/15/2011,3.54E+11,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,Iwate,San Francisco Bay Area,1,1,
Boston,4/15/2011,6.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Generic,Second Round,Iwate,Boston Metro,1,1,7
Chelsea,4/15/2011,6.11E+11,Drug Delivery,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,Iwate,Boston Metro,1,1,5
Palo Alto,4/15/2011,2.29E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,Iwate,San Francisco Bay Area,1,1,3.55
Somerville,4/15/2011,6.07E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,0.1
Mountain View,4/15/2011,6.15E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,3
Palo Alto,4/15/2011,6.04E+11,Educational/Training Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,1.95
Bainbridge Island,4/15/2011,57672758694,Business Applications Software,Information Technology,Software,"Bremerton-Silverdale, WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,Seattle Metro,1,1,10
San Francisco,4/18/2011,1.11E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,15.75
Santa Clara,4/18/2011,65250758705,Medical/Lab Services,Healthcare,Healthcare Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,28.8
Los Angeles,4/18/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Iwate,Los Angeles Metro,1,1,5.4
Mountain View,4/18/2011,95766759319,Wireless Communications Equipment,Information Technology,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,6.94
